Data,Sistema,Projeto,Code Smells,Bugs,Vulnerabilidades,Cobertura,Qtde Linhas,Qtde Testes,Quality Gate
08/01/2021,Arquitetura,arquitetura-api-lang,170,4,0,0.0,1866,0,OK
08/01/2021,Arquitetura,arquitetura-api-lang-mongodb,15,0,0,0.0,464,0,OK
08/01/2021,Arquitetura,arquitetura-api-lang-mysql,15,0,0,0.0,335,0,OK
08/01/2021,Arquitetura,arquitetura-api-lang-postgresql,15,0,0,0.0,335,0,OK
08/01/2021,Arquitetura,arquitetura-canonical-lang,25,0,0,0.0,592,0,OK
08/01/2021,Arquitetura,arquitetura-entity-lang,4,0,0,0.0,263,0,OK
08/01/2021,Arquitetura,arquitetura_canonical-schema-lang,3,0,0,0.0,245,0,OK
08/01/2021,Arquitetura,arquitetura_connectcont-client-http,2,0,0,0.0,433,9,OK
08/01/2021,Arquitetura,arquitetura_exception-lang,13,0,0,0.0,817,0,OK
08/01/2021,Arquitetura,arquitetura_oauth2-lang,10,3,0,0.0,1091,0,ERROR
08/01/2021,Arquitetura,arquitetura_oauth2-mongodb,34,5,0,0.0,3323,0,OK
08/01/2021,Arquitetura,arquitetura_oauth2-redis,19,9,0,0.0,1834,0,OK
08/01/2021,Arquitetura,arquitetura_oauth2-token-connectcont,3,1,0,0.0,210,0,OK
08/01/2021,Arquivos,api-arquivos,2345,402,0,10.5,86323,573,OK
08/01/2021,Busca XML,buscaxml-api,74,2,0,0.0,4655,22,OK
08/01/2021,Busca XML,buscaxml-batch,229,3,0,0.0,2831,0,OK
08/01/2021,Busca XML,buscaxml-migra-api,209,9,1,0.0,6899,0,OK
08/01/2021,Busca XML,buscaxml-sso,126,3,0,50.8,10414,534,OK
08/01/2021,CND,cnd-backend,1333,12,4,0.0,39841,0,OK
08/01/2021,CND,cnd-frontend,1583,14,3,0.0,42150,0,OK
08/01/2021,Comuns,api-comuns-sso,130,1,0,50.8,10363,438,OK
08/01/2021,Comuns,comuns-consulta-api,105,3,0,19.0,2417,7,ERROR
08/01/2021,Comuns,comuns-consulta-canonical-schema,8,0,0,0.0,238,0,OK
08/01/2021,Comuns,comuns-reports-api,36,0,0,0.0,3647,0,OK
08/01/2021,Comuns,comuns-reports-client,9,0,0,0.0,219,0,OK
08/01/2021,Comuns,comuns-reports-feigh-client,2,0,0,0.0,150,0,OK
